C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 10.100000000000001 | Loss: 2.2664 | Aggregation time: 0.338
Epoch 2 Accuracy 28.599999999999998 | Loss: 2.1845 | Aggregation time: 0.638
Epoch 3 Accuracy 29.599999999999998 | Loss: 2.0772 | Aggregation time: 1.012
Epoch 4 Accuracy 22.3 | Loss: 1.9078 | Aggregation time: 1.436
Epoch 5 Accuracy 62.4 | Loss: 1.6563 | Aggregation time: 1.817
Epoch 6 Accuracy 57.49999999999999 | Loss: 1.3225 | Aggregation time: 2.321
Epoch 7 Accuracy 53.0 | Loss: 1.3726 | Aggregation time: 2.676
Epoch 8 Accuracy 56.3 | Loss: 1.2552 | Aggregation time: 3.139
Epoch 9 Accuracy 71.7 | Loss: 0.9919 | Aggregation time: 3.503
Epoch 10 Accuracy 76.8 | Loss: 0.8322 | Aggregation time: 3.967
Epoch 11 Accuracy 81.69999999999999 | Loss: 0.7693 | Aggregation time: 4.381
Epoch 12 Accuracy 83.0 | Loss: 0.5153 | Aggregation time: 4.767
Epoch 13 Accuracy 82.1 | Loss: 0.5787 | Aggregation time: 5.148
Epoch 14 Accuracy 84.8 | Loss: 0.5427 | Aggregation time: 5.628
Epoch 15 Accuracy 89.9 | Loss: 0.3941 | Aggregation time: 5.995
Epoch 16 Accuracy 89.4 | Loss: 0.4092 | Aggregation time: 6.364
Epoch 17 Accuracy 84.7 | Loss: 0.3606 | Aggregation time: 6.848
Epoch 18 Accuracy 83.5 | Loss: 0.5465 | Aggregation time: 7.185
Epoch 19 Accuracy 80.2 | Loss: 0.4935 | Aggregation time: 7.679
Epoch 20 Accuracy 90.10000000000001 | Loss: 0.3636 | Aggregation time: 8.057
