C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 9.8 | Loss: nan | Aggregation time: 0.501
Epoch 2 Accuracy 9.8 | Loss: nan | Aggregation time: 0.905
Epoch 3 Accuracy 9.8 | Loss: nan | Aggregation time: 1.463
Epoch 4 Accuracy 9.8 | Loss: nan | Aggregation time: 1.944
Epoch 5 Accuracy 9.8 | Loss: nan | Aggregation time: 2.451
Epoch 6 Accuracy 9.8 | Loss: nan | Aggregation time: 2.974
Epoch 7 Accuracy 9.8 | Loss: nan | Aggregation time: 3.496
Epoch 8 Accuracy 9.8 | Loss: nan | Aggregation time: 4.154
Epoch 9 Accuracy 9.8 | Loss: nan | Aggregation time: 4.684
Epoch 10 Accuracy 9.8 | Loss: nan | Aggregation time: 5.247
Epoch 11 Accuracy 9.8 | Loss: nan | Aggregation time: 5.883
Epoch 12 Accuracy 9.8 | Loss: nan | Aggregation time: 6.399
Epoch 13 Accuracy 9.8 | Loss: nan | Aggregation time: 6.996
Epoch 14 Accuracy 9.8 | Loss: nan | Aggregation time: 7.537
Epoch 15 Accuracy 9.8 | Loss: nan | Aggregation time: 8.059
Epoch 16 Accuracy 9.8 | Loss: nan | Aggregation time: 8.565
Epoch 17 Accuracy 9.8 | Loss: nan | Aggregation time: 9.116
Epoch 18 Accuracy 9.8 | Loss: nan | Aggregation time: 9.568
Epoch 19 Accuracy 9.8 | Loss: nan | Aggregation time: 10.101
Epoch 20 Accuracy 9.8 | Loss: nan | Aggregation time: 10.57
