C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 12.0 | Loss: 2.2944 | Aggregation time: 0.591
Epoch 2 Accuracy 13.100000000000001 | Loss: 2.2215 | Aggregation time: 1.435
Epoch 3 Accuracy 38.6 | Loss: 2.1414 | Aggregation time: 2.298
Epoch 4 Accuracy 40.699999999999996 | Loss: 1.9905 | Aggregation time: 3.192
Epoch 5 Accuracy 60.9 | Loss: 1.6999 | Aggregation time: 3.941
Epoch 6 Accuracy 65.10000000000001 | Loss: 1.312 | Aggregation time: 4.802
Epoch 7 Accuracy 54.300000000000004 | Loss: 1.1656 | Aggregation time: 5.531
Epoch 8 Accuracy 70.5 | Loss: 0.9308 | Aggregation time: 6.323
Epoch 9 Accuracy 72.0 | Loss: 0.7649 | Aggregation time: 6.979
Epoch 10 Accuracy 71.5 | Loss: 0.6738 | Aggregation time: 7.697
Epoch 11 Accuracy 69.69999999999999 | Loss: 0.7086 | Aggregation time: 8.533
Epoch 12 Accuracy 79.2 | Loss: 0.6491 | Aggregation time: 9.323
Epoch 13 Accuracy 84.2 | Loss: 0.4752 | Aggregation time: 9.983
Epoch 14 Accuracy 84.2 | Loss: 0.4975 | Aggregation time: 10.765
Epoch 15 Accuracy 86.0 | Loss: 0.4188 | Aggregation time: 11.545
Epoch 16 Accuracy 88.6 | Loss: 0.4059 | Aggregation time: 12.219
Epoch 17 Accuracy 91.60000000000001 | Loss: 0.3384 | Aggregation time: 13.035
Epoch 18 Accuracy 88.1 | Loss: 0.3205 | Aggregation time: 13.754
Epoch 19 Accuracy 91.3 | Loss: 0.2769 | Aggregation time: 14.484
Epoch 20 Accuracy 92.80000000000001 | Loss: 0.2739 | Aggregation time: 15.137
