Epoch 1 Accuracy 30.5 | Loss: 2.2539 | Aggregation time: 1.417
Epoch 2 Accuracy 55.7 | Loss: 1.7061 | Aggregation time: 2.96
Epoch 3 Accuracy 55.00000000000001 | Loss: 1.2186 | Aggregation time: 4.594
Epoch 4 Accuracy 82.69999999999999 | Loss: 0.9402 | Aggregation time: 6.19
Epoch 5 Accuracy 81.69999999999999 | Loss: 0.4894 | Aggregation time: 7.722
Epoch 6 Accuracy 90.3 | Loss: 0.4505 | Aggregation time: 9.248
Epoch 7 Accuracy 92.0 | Loss: 0.3036 | Aggregation time: 10.782
Epoch 8 Accuracy 94.39999999999999 | Loss: 0.2319 | Aggregation time: 12.161
Epoch 9 Accuracy 95.1 | Loss: 0.1961 | Aggregation time: 13.582
Epoch 10 Accuracy 95.1 | Loss: 0.1932 | Aggregation time: 14.987
Epoch 11 Accuracy 95.39999999999999 | Loss: 0.1625 | Aggregation time: 16.367
Epoch 12 Accuracy 96.39999999999999 | Loss: 0.1468 | Aggregation time: 17.721
Epoch 13 Accuracy 96.3 | Loss: 0.1429 | Aggregation time: 19.022
Epoch 14 Accuracy 96.1 | Loss: 0.1302 | Aggregation time: 20.363
Epoch 15 Accuracy 95.8 | Loss: 0.135 | Aggregation time: 21.685
Epoch 16 Accuracy 96.6 | Loss: 0.1274 | Aggregation time: 23.089
Epoch 17 Accuracy 95.39999999999999 | Loss: 0.1282 | Aggregation time: 24.387
Epoch 18 Accuracy 96.39999999999999 | Loss: 0.1341 | Aggregation time: 25.815
Epoch 19 Accuracy 96.7 | Loss: 0.11 | Aggregation time: 27.169
Epoch 20 Accuracy 97.3 | Loss: 0.1003 | Aggregation time: 28.538
