Epoch 1 Accuracy 76.7 | Loss: 1.3014 | Aggregation time: 0.053
Epoch 2 Accuracy 91.4 | Loss: 0.3625 | Aggregation time: 0.106
Epoch 3 Accuracy 93.7 | Loss: 0.1844 | Aggregation time: 0.16
Epoch 4 Accuracy 94.19999999999999 | Loss: 0.1602 | Aggregation time: 0.214
Epoch 5 Accuracy 94.8 | Loss: 0.1438 | Aggregation time: 0.27
Epoch 6 Accuracy 95.19999999999999 | Loss: 0.1353 | Aggregation time: 0.326
Epoch 7 Accuracy 95.3 | Loss: 0.1268 | Aggregation time: 0.38
Epoch 8 Accuracy 95.6 | Loss: 0.1164 | Aggregation time: 0.435
Epoch 9 Accuracy 95.89999999999999 | Loss: 0.1109 | Aggregation time: 0.491
Epoch 10 Accuracy 96.0 | Loss: 0.1069 | Aggregation time: 0.545
Epoch 11 Accuracy 96.2 | Loss: 0.0965 | Aggregation time: 0.602
Epoch 12 Accuracy 96.5 | Loss: 0.0958 | Aggregation time: 0.657
Epoch 13 Accuracy 96.7 | Loss: 0.0917 | Aggregation time: 0.713
Epoch 14 Accuracy 96.8 | Loss: 0.0887 | Aggregation time: 0.771
Epoch 15 Accuracy 97.1 | Loss: 0.0874 | Aggregation time: 0.826
Epoch 16 Accuracy 96.89999999999999 | Loss: 0.0849 | Aggregation time: 0.884
Epoch 17 Accuracy 97.1 | Loss: 0.0784 | Aggregation time: 0.939
Epoch 18 Accuracy 97.1 | Loss: 0.08 | Aggregation time: 0.996
Epoch 19 Accuracy 97.3 | Loss: 0.0771 | Aggregation time: 1.052
Epoch 20 Accuracy 97.3 | Loss: 0.073 | Aggregation time: 1.108
