Epoch 1 Accuracy 15.9 | Loss: 2.3449 | Aggregation time: 1.183
Epoch 2 Accuracy 11.4 | Loss: 2.3246 | Aggregation time: 2.344
Epoch 3 Accuracy 8.9 | Loss: 2.5084 | Aggregation time: 3.51
Epoch 4 Accuracy 11.799999999999999 | Loss: 2.3195 | Aggregation time: 4.676
Epoch 5 Accuracy 28.799999999999997 | Loss: 2.1877 | Aggregation time: 5.841
Epoch 6 Accuracy 18.0 | Loss: 2.405 | Aggregation time: 7.009
Epoch 7 Accuracy 25.0 | Loss: 1.9542 | Aggregation time: 8.209
Epoch 8 Accuracy 17.4 | Loss: 2.4144 | Aggregation time: 9.363
Epoch 9 Accuracy 28.000000000000004 | Loss: 2.2389 | Aggregation time: 10.543
Epoch 10 Accuracy 10.299999999999999 | Loss: 2.2534 | Aggregation time: 11.735
Epoch 11 Accuracy 13.5 | Loss: 2.2887 | Aggregation time: 12.922
Epoch 12 Accuracy 26.8 | Loss: 2.2624 | Aggregation time: 14.103
Epoch 13 Accuracy 10.7 | Loss: 2.4447 | Aggregation time: 15.307
Epoch 14 Accuracy 10.5 | Loss: 2.2646 | Aggregation time: 16.515
Epoch 15 Accuracy 10.299999999999999 | Loss: 2.2777 | Aggregation time: 17.699
Epoch 16 Accuracy 10.299999999999999 | Loss: 2.2858 | Aggregation time: 18.883
Epoch 17 Accuracy 16.6 | Loss: 2.2617 | Aggregation time: 20.09
Epoch 18 Accuracy 34.5 | Loss: 2.0844 | Aggregation time: 21.269
Epoch 19 Accuracy 11.4 | Loss: 2.0129 | Aggregation time: 22.453
Epoch 20 Accuracy 12.9 | Loss: 2.3228 | Aggregation time: 23.621
