C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 11.899999999999999 | Loss: 2.2697 | Aggregation time: 0.377
Epoch 2 Accuracy 25.3 | Loss: 2.1361 | Aggregation time: 0.653
Epoch 3 Accuracy 30.8 | Loss: 1.9272 | Aggregation time: 0.982
Epoch 4 Accuracy 58.099999999999994 | Loss: 1.57 | Aggregation time: 1.287
Epoch 5 Accuracy 64.60000000000001 | Loss: 1.2734 | Aggregation time: 1.649
Epoch 6 Accuracy 70.39999999999999 | Loss: 1.0398 | Aggregation time: 2.108
Epoch 7 Accuracy 78.0 | Loss: 0.7861 | Aggregation time: 2.474
Epoch 8 Accuracy 78.2 | Loss: 0.6802 | Aggregation time: 2.864
Epoch 9 Accuracy 82.39999999999999 | Loss: 0.5535 | Aggregation time: 3.224
Epoch 10 Accuracy 87.2 | Loss: 0.5013 | Aggregation time: 3.675
Epoch 11 Accuracy 88.8 | Loss: 0.3881 | Aggregation time: 4.117
Epoch 12 Accuracy 85.2 | Loss: 0.3141 | Aggregation time: 4.483
Epoch 13 Accuracy 90.0 | Loss: 0.4069 | Aggregation time: 4.869
Epoch 14 Accuracy 91.3 | Loss: 0.3227 | Aggregation time: 5.274
Epoch 15 Accuracy 93.60000000000001 | Loss: 0.275 | Aggregation time: 5.627
Epoch 16 Accuracy 93.7 | Loss: 0.2296 | Aggregation time: 6.102
Epoch 17 Accuracy 94.0 | Loss: 0.2268 | Aggregation time: 6.525
Epoch 18 Accuracy 93.7 | Loss: 0.1599 | Aggregation time: 6.989
Epoch 19 Accuracy 92.7 | Loss: 0.177 | Aggregation time: 7.386
Epoch 20 Accuracy 94.5 | Loss: 0.1821 | Aggregation time: 7.881
