C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 9.8 | Loss: nan | Aggregation time: 0.596
Epoch 2 Accuracy 9.8 | Loss: nan | Aggregation time: 1.063
Epoch 3 Accuracy 9.8 | Loss: nan | Aggregation time: 1.647
Epoch 4 Accuracy 9.8 | Loss: nan | Aggregation time: 2.237
Epoch 5 Accuracy 9.8 | Loss: nan | Aggregation time: 2.834
Epoch 6 Accuracy 9.8 | Loss: nan | Aggregation time: 3.447
Epoch 7 Accuracy 9.8 | Loss: nan | Aggregation time: 4.027
Epoch 8 Accuracy 9.8 | Loss: nan | Aggregation time: 4.578
Epoch 9 Accuracy 9.8 | Loss: nan | Aggregation time: 5.042
Epoch 10 Accuracy 9.8 | Loss: nan | Aggregation time: 5.532
Epoch 11 Accuracy 9.8 | Loss: nan | Aggregation time: 6.073
Epoch 12 Accuracy 9.8 | Loss: nan | Aggregation time: 6.487
Epoch 13 Accuracy 9.8 | Loss: nan | Aggregation time: 6.955
Epoch 14 Accuracy 9.8 | Loss: nan | Aggregation time: 7.422
Epoch 15 Accuracy 9.8 | Loss: nan | Aggregation time: 7.871
Epoch 16 Accuracy 9.8 | Loss: nan | Aggregation time: 8.412
Epoch 17 Accuracy 9.8 | Loss: nan | Aggregation time: 8.934
Epoch 18 Accuracy 9.8 | Loss: nan | Aggregation time: 9.428
Epoch 19 Accuracy 9.8 | Loss: nan | Aggregation time: 9.958
Epoch 20 Accuracy 9.8 | Loss: nan | Aggregation time: 10.438
