C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 9.700000000000001 | Loss: 2.2886 | Aggregation time: 0.456
Epoch 2 Accuracy 11.4 | Loss: 2.197 | Aggregation time: 0.739
Epoch 3 Accuracy 9.700000000000001 | Loss: 2.1587 | Aggregation time: 1.025
Epoch 4 Accuracy 25.2 | Loss: 2.1423 | Aggregation time: 1.341
Epoch 5 Accuracy 18.9 | Loss: 2.0076 | Aggregation time: 1.69
Epoch 6 Accuracy 21.6 | Loss: 1.7412 | Aggregation time: 2.071
Epoch 7 Accuracy 41.4 | Loss: 1.5537 | Aggregation time: 2.371
Epoch 8 Accuracy 60.099999999999994 | Loss: 1.6693 | Aggregation time: 2.76
Epoch 9 Accuracy 28.299999999999997 | Loss: 1.3852 | Aggregation time: 3.125
Epoch 10 Accuracy 58.8 | Loss: 1.2857 | Aggregation time: 3.463
Epoch 11 Accuracy 63.0 | Loss: 1.258 | Aggregation time: 3.83
Epoch 12 Accuracy 71.2 | Loss: 0.7826 | Aggregation time: 4.179
Epoch 13 Accuracy 69.5 | Loss: 0.7372 | Aggregation time: 4.518
Epoch 14 Accuracy 76.4 | Loss: 0.92 | Aggregation time: 4.903
Epoch 15 Accuracy 63.5 | Loss: 0.6983 | Aggregation time: 5.236
Epoch 16 Accuracy 66.9 | Loss: 0.7855 | Aggregation time: 5.569
Epoch 17 Accuracy 74.6 | Loss: 0.8003 | Aggregation time: 5.932
Epoch 18 Accuracy 86.9 | Loss: 0.5319 | Aggregation time: 6.249
Epoch 19 Accuracy 83.8 | Loss: 0.4044 | Aggregation time: 6.666
Epoch 20 Accuracy 82.8 | Loss: 0.4959 | Aggregation time: 7.025
