C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 9.700000000000001 | Loss: 2.2529 | Aggregation time: 0.359
Epoch 2 Accuracy 42.3 | Loss: 2.1174 | Aggregation time: 0.717
Epoch 3 Accuracy 34.4 | Loss: 1.9749 | Aggregation time: 1.238
Epoch 4 Accuracy 24.0 | Loss: 1.7398 | Aggregation time: 1.664
Epoch 5 Accuracy 48.699999999999996 | Loss: 1.4579 | Aggregation time: 2.087
Epoch 6 Accuracy 50.2 | Loss: 1.3686 | Aggregation time: 2.588
Epoch 7 Accuracy 47.9 | Loss: 1.1731 | Aggregation time: 2.979
Epoch 8 Accuracy 67.5 | Loss: 0.8262 | Aggregation time: 3.423
Epoch 9 Accuracy 63.5 | Loss: 0.6911 | Aggregation time: 3.79
Epoch 10 Accuracy 76.8 | Loss: 0.8092 | Aggregation time: 4.274
Epoch 11 Accuracy 79.10000000000001 | Loss: 0.6814 | Aggregation time: 4.697
Epoch 12 Accuracy 84.0 | Loss: 0.4854 | Aggregation time: 5.174
Epoch 13 Accuracy 83.89999999999999 | Loss: 0.3781 | Aggregation time: 5.552
Epoch 14 Accuracy 86.6 | Loss: 0.4114 | Aggregation time: 6.02
Epoch 15 Accuracy 90.8 | Loss: 0.3438 | Aggregation time: 6.371
Epoch 16 Accuracy 85.0 | Loss: 0.313 | Aggregation time: 6.725
Epoch 17 Accuracy 84.0 | Loss: 0.2617 | Aggregation time: 7.12
Epoch 18 Accuracy 88.2 | Loss: 0.2804 | Aggregation time: 7.557
Epoch 19 Accuracy 87.6 | Loss: 0.2721 | Aggregation time: 7.958
Epoch 20 Accuracy 93.8 | Loss: 0.2193 | Aggregation time: 8.422
