C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 9.8 | Loss: nan | Aggregation time: 0.494
Epoch 2 Accuracy 9.8 | Loss: nan | Aggregation time: 0.979
Epoch 3 Accuracy 9.8 | Loss: nan | Aggregation time: 1.58
Epoch 4 Accuracy 9.8 | Loss: nan | Aggregation time: 2.121
Epoch 5 Accuracy 9.8 | Loss: nan | Aggregation time: 2.604
Epoch 6 Accuracy 9.8 | Loss: nan | Aggregation time: 3.178
Epoch 7 Accuracy 9.8 | Loss: nan | Aggregation time: 3.675
Epoch 8 Accuracy 9.8 | Loss: nan | Aggregation time: 4.213
Epoch 9 Accuracy 9.8 | Loss: nan | Aggregation time: 4.702
Epoch 10 Accuracy 9.8 | Loss: nan | Aggregation time: 5.187
Epoch 11 Accuracy 9.8 | Loss: nan | Aggregation time: 5.742
Epoch 12 Accuracy 9.8 | Loss: nan | Aggregation time: 6.197
Epoch 13 Accuracy 9.8 | Loss: nan | Aggregation time: 6.731
Epoch 14 Accuracy 9.8 | Loss: nan | Aggregation time: 7.313
Epoch 15 Accuracy 9.8 | Loss: nan | Aggregation time: 7.839
Epoch 16 Accuracy 9.8 | Loss: nan | Aggregation time: 8.362
Epoch 17 Accuracy 9.8 | Loss: nan | Aggregation time: 8.857
Epoch 18 Accuracy 9.8 | Loss: nan | Aggregation time: 9.298
Epoch 19 Accuracy 9.8 | Loss: nan | Aggregation time: 9.811
Epoch 20 Accuracy 9.8 | Loss: nan | Aggregation time: 10.256
